ID,start,end,code,team,action,half,pos_x,pos_y
2942,3654.77,3674.77,18. Noname Noname,Sound FC 06,Challenges (won),2nd half,74.5,36.6
2943,3654.77,3674.77,18. Noname Noname,Sound FC 06,Counter-attacks,2nd half,74.5,36.6
2944,3657.13,3677.13,40. Mateo Garces,Seattle United 06 Tango,Tackles (Successful actions),2nd half,18,26.7
2945,3657.13,3677.13,40. Mateo Garces,Seattle United 06 Tango,Challenges (won),2nd half,18,26.7
2946,3657.13,3677.13,18. Noname Noname,Sound FC 06,Challenges (lost),2nd half,87.0,41.3
2947,3657.13,3677.13,18. Noname Noname,Sound FC 06,Dribbles (Unsuccessful actions),2nd half,87.0,41.3
2948,3657.13,3677.13,18. Noname Noname,Sound FC 06,Counter-attacks,2nd half,87.0,41.3
2949,3657.13,3677.13,18. Noname Noname,Sound FC 06,Lost balls,2nd half,87.0,41.3
2950,3678.94,3698.94,12. Noname A21,Sound FC 06,Passes accurate,2nd half,89.1,68.0
2951,3678.94,3698.94,12. Noname A21,Sound FC 06,Positional attacks,2nd half,89.1,68.0
2952,3679.99,3699.99,8. Noname A19,Sound FC 06,Passes accurate,2nd half,92.7,56.3
2953,3679.99,3699.99,8. Noname A19,Sound FC 06,Positional attacks,2nd half,92.7,56.3
2954,3681.75,3701.75,21. Gian Lucca Weintraub,Seattle United 06 Tango,Challenges (won),2nd half,19.8,4.8
2955,3681.75,3701.75,14. Noname Noname,Sound FC 06,Challenges (lost),2nd half,85.2,63.2
2956,3681.75,3701.75,21. Gian Lucca Weintraub,Seattle United 06 Tango,Tackles (Successful actions),2nd half,19.8,4.8
2957,3681.75,3701.75,14. Noname Noname,Sound FC 06,Dribbles (Unsuccessful actions),2nd half,85.2,63.2
2958,3681.75,3701.75,14. Noname Noname,Sound FC 06,Positional attacks,2nd half,85.2,63.2
2959,3682.85,3702.85,14. Noname Noname,Sound FC 06,Challenges (lost),2nd half,87.3,62
2960,3682.85,3702.85,54. Elliot Falor,Seattle United 06 Tango,Challenges (won),2nd half,17.7,6.0
2961,3682.85,3702.85,54. Elliot Falor,Seattle United 06 Tango,Positional attacks,2nd half,17.7,6.0
2962,3682.85,3702.85,14. Noname Noname,Sound FC 06,Lost balls,2nd half,87.3,62.0
2963,3685.32,3705.32,14. Noname Noname,Sound FC 06,Fouls,2nd half,69.0,56.3
2964,3685.32,3705.32,14. Noname Noname,Sound FC 06,Positional attacks,2nd half,69.0,56.3
2965,3699.77,3719.77,40. Mateo Garces,Seattle United 06 Tango,Free-kick attacks,2nd half,38.2,10.0
2966,3699.77,3719.77,40. Mateo Garces,Seattle United 06 Tango,Free-kick attacks,2nd half,38.2,10.0
2967,3699.77,3719.77,40. Mateo Garces,Seattle United 06 Tango,Passes into the penalty box,2nd half,38.2,10.0
2968,3699.77,3719.77,40. Mateo Garces,Seattle United 06 Tango,Passes accurate,2nd half,38.2,10.0
2969,3702.76,3722.76,5. Noname Noname,Sound FC 06,Free-kick attacks,2nd half,13.3,37.2
2970,3702.76,3722.76,5. Noname Noname,Sound FC 06,Air challenges (won),2nd half,13.3,37.2
2971,3702.76,3722.76,23. Zoran Khan,Seattle United 06 Tango,Lost balls,2nd half,91.7,30.8
2972,3702.76,3722.76,23. Zoran Khan,Seattle United 06 Tango,Air challenges (lost),2nd half,91.7,30.8
2973,3702.76,3722.76,5. Noname Noname,Sound FC 06,Challenges (won),2nd half,13.3,37.2
2974,3702.76,3722.76,23. Zoran Khan,Seattle United 06 Tango,Challenges (lost),2nd half,91.7,30.8
2975,3706.43,3726.43,42. Loic Charles-Antoine,Seattle United 06 Tango,Challenges (lost),2nd half,73.1,33.4
2976,3706.43,3726.43,42. Loic Charles-Antoine,Seattle United 06 Tango,Tackles (Unsuccessful actions),2nd half,73.1,33.4
2977,3706.43,3726.43,8. Noname A19,Sound FC 06,Picking-ups,2nd half,31.9,34.6
2978,3706.43,3726.43,8. Noname A19,Sound FC 06,Dribbles (Successful actions),2nd half,31.9,34.6
2979,3708.1,3728.1,8. Noname A19,Sound FC 06,Lost balls,2nd half,91.7,19.1
2980,3708.1,3728.1,8. Noname A19,Sound FC 06,Passes (inaccurate),2nd half,39.2,28.6
2981,3708.1,3728.1,8. Noname A19,Sound FC 06,Passes into the penalty box,2nd half,39.2,28.6
2982,3714.22,3734.22,1. Finley Suess,Seattle United 06 Tango,Picking-ups,2nd half,13.3,48.9
2983,3714.22,3734.22,1. Finley Suess,Seattle United 06 Tango,Passes accurate,2nd half,13.3,48.9
2984,3714.22,3734.22,1. Finley Suess,Seattle United 06 Tango,Positional attacks,2nd half,13.3,48.9
2985,3715.89,3735.89,33. Kirby Winfield III,Seattle United 06 Tango,Positional attacks,2nd half,29.4,55.5
2986,3720.79,3740.79,33. Kirby Winfield III,Seattle United 06 Tango,Positional attacks,2nd half,38.6,48.6
2987,3720.79,3740.79,33. Kirby Winfield III,Seattle United 06 Tango,Passes accurate,2nd half,38.6,48.6
2988,3723.15,3743.15,21. Gian Lucca Weintraub,Seattle United 06 Tango,Challenges (lost),2nd half,75.6,17.8
2989,3723.15,3743.15,12. Noname A21,Sound FC 06,Positional attacks,2nd half,29.4,50.2
2990,3723.15,3743.15,12. Noname A21,Sound FC 06,Air challenges (won),2nd half,29.4,50.2
2991,3723.15,3743.15,21. Gian Lucca Weintraub,Seattle United 06 Tango,Air challenges (lost),2nd half,75.6,17.8
2992,3723.15,3743.15,12. Noname A21,Sound FC 06,Challenges (won),2nd half,29.4,50.2
2993,3728.14,3748.14,10. Noname A20,Sound FC 06,Challenges (won),2nd half,2.3,59.3
2994,3728.14,3748.14,23. Zoran Khan,Seattle United 06 Tango,Challenges (lost),2nd half,102.7,8.7
2995,3728.14,3748.14,10. Noname A20,Sound FC 06,Positional attacks,2nd half,2.3,59.3
2996,3740.61,3760.61,40. Mateo Garces,Seattle United 06 Tango,Passes into the penalty box,2nd half,93.2,0.0
2997,3740.61,3760.61,40. Mateo Garces,Seattle United 06 Tango,Passes (inaccurate),2nd half,93.2,0.0
2998,3740.61,3760.61,40. Mateo Garces,Seattle United 06 Tango,Throw-in attacks,2nd half,93.2,0.0
2999,3741.86,3761.86,14. Noname Noname,Sound FC 06,Throw-in attacks,2nd half,10.3,49.9
3000,3741.86,3761.86,14. Noname Noname,Sound FC 06,Interceptions,2nd half,10.3,49.9
3001,3750.03,3770.03,33. Kirby Winfield III,Seattle United 06 Tango,Throw-in attacks,2nd half,75.2,24.4
3002,3750.03,3770.03,33. Kirby Winfield III,Seattle United 06 Tango,Picking-ups,2nd half,75.2,24.4
