ID,start,end,code,team,action,half,pos_x,pos_y
1,0,16.84,25. Benton Tameling,Seattle United 06 Tango,Positional attacks,1st half,22.8,35.8
2,0,18.59,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,34.7,40.7
3,0,10.37,50. Jackson Smith,Seattle United 06 Tango,Passes accurate,1st half,52.5,34.0
4,0,19.72,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,39.9,47.8
5,0,16.84,25. Benton Tameling,Seattle United 06 Tango,Passes accurate,1st half,22.8,35.8
6,0,19.72,42. Loic Charles-Antoine,Seattle United 06 Tango,Passes accurate,1st half,39.9,47.8
7,0,14.65,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,34.0,65.1
8,0,12.02,42. Loic Charles-Antoine,Seattle United 06 Tango,Passes accurate,1st half,40.3,42.4
9,0,10.37,50. Jackson Smith,Seattle United 06 Tango,Positional attacks,1st half,52.5,34.0
10,0,14.65,47. Tate Macdonald,Seattle United 06 Tango,Passes accurate,1st half,34.0,65.1
11,0,12.02,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,40.3,42.4
12,0.37,1.37,Start,,,,,
13,2.4,22.4,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,58.2,66.5
14,2.4,22.4,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,58.2,66.5
15,2.4,22.4,47. Tate Macdonald,Seattle United 06 Tango,Dribbling,1st half,58.2,66.5
16,5.92,25.92,47. Tate Macdonald,Seattle United 06 Tango,Passes (inaccurate),1st half,71.3,64.3
17,5.92,25.92,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,71.3,64.3
18,6.62,26.62,13. Noname Noname,Sound FC 06,Interceptions,1st half,27.2,2.4
19,6.62,26.62,13. Noname Noname,Sound FC 06,Positional attacks,1st half,27.2,2.4
20,17.12,37.12,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,82.1,68.0
21,17.12,37.12,47. Tate Macdonald,Seattle United 06 Tango,Passes accurate,1st half,82.1,68.0
22,18.32,38.32,21. Gian Lucca Weintraub,Seattle United 06 Tango,Positional attacks,1st half,82.5,56.3
23,20.05,40.05,21. Gian Lucca Weintraub,Seattle United 06 Tango,Positional attacks,1st half,80.0,62.8
24,20.05,40.05,21. Gian Lucca Weintraub,Seattle United 06 Tango,Passes accurate,1st half,80.0,62.8
25,20.78,40.78,47. Tate Macdonald,Seattle United 06 Tango,Lost balls,1st half,81.0,67.1
26,20.78,40.78,9. Noname Noname,Sound FC 06,Challenges (won),1st half,24,0.90000000000001
27,20.78,40.78,9. Noname Noname,Sound FC 06,Tackles (Successful actions),1st half,24,0.90000000000001
28,20.78,40.78,47. Tate Macdonald,Seattle United 06 Tango,Dribbles (Unsuccessful actions),1st half,81.0,67.1
29,20.78,40.78,47. Tate Macdonald,Seattle United 06 Tango,Challenges (lost),1st half,81.0,67.1
30,20.78,40.78,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,81.0,67.1
31,21.86,41.86,8. Noname A19,Sound FC 06,Passes accurate,1st half,22.2,2.7
32,21.86,41.86,8. Noname A19,Sound FC 06,Picking-ups,1st half,22.2,2.7
33,23.91,43.91,5. Noname Noname,Sound FC 06,Lost balls (in opp. half),1st half,11.0,0.0
34,23.91,43.91,5. Noname Noname,Sound FC 06,Passes (inaccurate),1st half,7.6,7.7
35,23.91,43.91,5. Noname Noname,Sound FC 06,Lost balls,1st half,11.0,0.0
36,32.11,52.11,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,95.2,68.0
37,32.11,52.11,47. Tate Macdonald,Seattle United 06 Tango,Passes accurate,1st half,95.2,68.0
38,33.26,53.26,29. Jackson Peterson,Seattle United 06 Tango,Positional attacks,1st half,98.7,55.4
39,33.26,53.26,29. Jackson Peterson,Seattle United 06 Tango,Passes into the penalty box,1st half,98.7,55.4
40,33.26,53.26,29. Jackson Peterson,Seattle United 06 Tango,Lost balls,1st half,95.2,43.6
41,33.26,53.26,29. Jackson Peterson,Seattle United 06 Tango,Passes (inaccurate),1st half,98.7,55.4
42,34.21,54.21,10. Noname A20,Sound FC 06,Positional attacks,1st half,9.8,24.4
43,34.21,54.21,10. Noname A20,Sound FC 06,Passes accurate,1st half,9.8,24.4
44,34.21,54.21,10. Noname A20,Sound FC 06,Interceptions,1st half,9.8,24.4
45,36.03,56.03,9. Noname Noname,Sound FC 06,Passes (inaccurate),1st half,13.5,16.2
46,37.88,57.88,23. Zoran Khan,Seattle United 06 Tango,Interceptions (in opp. half),1st half,89.4,35.5
47,37.88,57.88,23. Zoran Khan,Seattle United 06 Tango,Interceptions,1st half,89.4,35.5
48,40.36,60.36,8. Noname A19,Sound FC 06,Challenges (won),1st half,24.0,29.3
49,40.36,60.36,23. Zoran Khan,Seattle United 06 Tango,Challenges (lost),1st half,81,38.7
50,41.67,61.67,7. Noname Noname,Sound FC 06,Picking-ups,1st half,33.0,19.6
51,42.99,62.99,7. Noname Noname,Sound FC 06,Passes (inaccurate),1st half,31.8,15.1
52,43.12,63.12,42. Loic Charles-Antoine,Seattle United 06 Tango,Interceptions (in opp. half),1st half,69.8,53.5
53,43.12,63.12,42. Loic Charles-Antoine,Seattle United 06 Tango,Interceptions,1st half,69.8,53.5
54,44.86,64.86,13. Noname Noname,Sound FC 06,Bad ball control,1st half,32.3,3.5
55,46.51,66.51,13. Noname Noname,Sound FC 06,Challenges (won),1st half,24.8,9.4
56,46.51,66.51,29. Jackson Peterson,Seattle United 06 Tango,Challenges (lost),1st half,80.2,58.6
57,48.06,68.06,13. Noname Noname,Sound FC 06,Dribbles (Unsuccessful actions),1st half,25.1,12.2
58,48.06,68.06,42. Loic Charles-Antoine,Seattle United 06 Tango,Tackles (Successful actions),1st half,79.9,55.8
59,48.06,68.06,42. Loic Charles-Antoine,Seattle United 06 Tango,Challenges (won),1st half,79.9,55.8
60,48.06,68.06,13. Noname Noname,Sound FC 06,Challenges (lost),1st half,25.1,12.2
61,48.06,68.06,13. Noname Noname,Sound FC 06,Lost balls,1st half,25.1,12.2
62,48.06,68.06,13. Noname Noname,Sound FC 06,Lost balls (in opp. half),1st half,25.1,12.2
63,48.77,68.77,29. Jackson Peterson,Seattle United 06 Tango,Bad ball control,1st half,83.6,54.4
64,48.77,68.77,29. Jackson Peterson,Seattle United 06 Tango,Lost balls,1st half,83.6,54.4
65,50.44,70.44,5. Noname Noname,Sound FC 06,Picking-ups,1st half,15.4,11.4
66,52.1,72.1,5. Noname Noname,Sound FC 06,Counter-attacks,1st half,12.1,2.2
67,52.1,72.1,5. Noname Noname,Sound FC 06,Passes accurate,1st half,12.1,2.2
68,54.21,74.21,7. Noname Noname,Sound FC 06,Counter-attacks,1st half,43.9,9.9
69,56.63,76.63,7. Noname Noname,Sound FC 06,Passes accurate,1st half,45.3,4.2
70,56.63,76.63,7. Noname Noname,Sound FC 06,Counter-attacks,1st half,45.3,4.2
71,59.62,79.62,18. Noname Noname,Sound FC 06,Counter-attacks,1st half,81.4,10.0
72,62.28,82.28,33. Kirby Winfield III,Seattle United 06 Tango,Interceptions,1st half,6.9,46.6
73,62.28,82.28,33. Kirby Winfield III,Seattle United 06 Tango,Counter-attacks,1st half,6.9,46.6
74,62.28,82.28,18. Noname Noname,Sound FC 06,Shots,1st half,97.3,19.4
75,62.28,82.28,18. Noname Noname,Sound FC 06,Counter-attacks,1st half,97.3,19.4
76,64.6,84.6,18. Noname Noname,Sound FC 06,Counter-attacks,1st half,95.5,14.3
77,64.6,84.6,18. Noname Noname,Sound FC 06,Picking-ups,1st half,95.5,14.3
78,64.6,84.6,18. Noname Noname,Sound FC 06,Picking-ups (in opp. half),1st half,95.5,14.3
79,66.34,86.34,18. Noname Noname,Sound FC 06,Passes accurate,1st half,86.8,12.5
80,66.34,86.34,18. Noname Noname,Sound FC 06,Counter-attacks,1st half,86.8,12.5
81,67.82,87.82,7. Noname Noname,Sound FC 06,Lost balls,1st half,78.2,13.7
82,67.82,87.82,7. Noname Noname,Sound FC 06,Counter-attacks,1st half,78.2,13.7
83,67.82,87.82,42. Loic Charles-Antoine,Seattle United 06 Tango,Tackles (Successful actions),1st half,26.8,54.3
84,67.82,87.82,7. Noname Noname,Sound FC 06,Dribbles (Unsuccessful actions),1st half,78.2,13.7
85,67.82,87.82,42. Loic Charles-Antoine,Seattle United 06 Tango,Challenges (won),1st half,26.8,54.3
86,67.82,87.82,7. Noname Noname,Sound FC 06,Challenges (lost),1st half,78.2,13.7
87,69.13,89.13,25. Benton Tameling,Seattle United 06 Tango,Passes accurate,1st half,21.3,52.4
88,69.13,89.13,25. Benton Tameling,Seattle United 06 Tango,Positional attacks,1st half,21.3,52.4
89,69.13,89.13,25. Benton Tameling,Seattle United 06 Tango,Picking-ups,1st half,21.3,52.4
90,69.13,89.13,25. Benton Tameling,Seattle United 06 Tango,Positional attacks,1st half,21.3,52.4
91,69.58,89.58,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,25.7,50.4
92,71.07,91.07,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,20.8,48.3
93,71.07,91.07,42. Loic Charles-Antoine,Seattle United 06 Tango,Passes accurate,1st half,20.8,48.3
94,74.63,94.63,1. Finley Suess,Seattle United 06 Tango,Positional attacks,1st half,2.9,35.0
95,74.63,94.63,1. Finley Suess,Seattle United 06 Tango,Passes accurate,1st half,2.9,35.0
96,76.6,96.6,33. Kirby Winfield III,Seattle United 06 Tango,Positional attacks,1st half,8.7,55.5
97,78.57,98.57,33. Kirby Winfield III,Seattle United 06 Tango,Positional attacks,1st half,13.0,55.7
98,78.57,98.57,33. Kirby Winfield III,Seattle United 06 Tango,Passes accurate,1st half,13.0,55.7
99,81.59,101.59,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,26.1,66.2
100,81.59,101.59,47. Tate Macdonald,Seattle United 06 Tango,Passes accurate,1st half,26.1,66.2
101,83.02,103.02,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,29.3,51.8
102,84.07,104.07,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,35.4,50.3
103,84.07,104.07,42. Loic Charles-Antoine,Seattle United 06 Tango,Passes accurate,1st half,35.4,50.3
104,85.6,105.6,54. Elliot Falor,Seattle United 06 Tango,Positional attacks,1st half,38.5,28.9
105,86.84,106.84,54. Elliot Falor,Seattle United 06 Tango,Positional attacks,1st half,43.4,24.7
106,86.84,106.84,54. Elliot Falor,Seattle United 06 Tango,Passes accurate,1st half,43.4,24.7
107,89.2,109.2,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,1st half,59.4,3.9
108,89.2,109.2,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,1st half,59.4,3.9
109,89.2,109.2,40. Mateo Garces,Seattle United 06 Tango,Dribbling,1st half,59.4,3.9
110,90.82,110.82,12. Noname A21,Sound FC 06,Tackles (Unsuccessful actions),1st half,37.3,64.4
111,90.82,110.82,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,1st half,67.7,3.6
112,90.82,110.82,40. Mateo Garces,Seattle United 06 Tango,Dribbles (Successful actions),1st half,67.7,3.6
113,90.82,110.82,12. Noname A21,Sound FC 06,Challenges (lost),1st half,37.3,64.4
114,94.31,114.31,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,1st half,91.2,3.7
115,94.31,114.31,40. Mateo Garces,Seattle United 06 Tango,Lost balls,1st half,95.2,68.0
116,94.31,114.31,40. Mateo Garces,Seattle United 06 Tango,Crosses (inaccurate),1st half,91.2,3.7
117,94.31,114.31,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,1st half,91.2,3.7
118,94.31,114.31,40. Mateo Garces,Seattle United 06 Tango,Passes (inaccurate),1st half,91.2,3.7
119,109.35,129.35,13. Noname Noname,Sound FC 06,Passes accurate,1st half,12.5,0.0
120,112.96,132.96,42. Loic Charles-Antoine,Seattle United 06 Tango,Challenges (lost),1st half,64.7,62.6
121,112.96,132.96,7. Noname Noname,Sound FC 06,Challenges (won),1st half,40.3,5.4
122,117.7,137.7,7. Noname Noname,Sound FC 06,Lost balls,1st half,83.2,0.0
123,117.7,137.7,7. Noname Noname,Sound FC 06,Passes (inaccurate),1st half,44.5,2.2
124,133.65,153.65,47. Tate Macdonald,Seattle United 06 Tango,Passes (inaccurate),1st half,38.7,68.0
125,133.65,153.65,47. Tate Macdonald,Seattle United 06 Tango,Lost balls,1st half,66.9,64.3
126,135.47,155.47,5. Noname Noname,Sound FC 06,Interceptions,1st half,38.1,3.7
127,136.23,156.23,5. Noname Noname,Sound FC 06,Lost balls,1st half,43.4,2.5
128,136.23,156.23,5. Noname Noname,Sound FC 06,Lost balls (in opp. half),1st half,43.4,2.5
129,136.23,156.23,5. Noname Noname,Sound FC 06,Passes (inaccurate),1st half,38.4,1.4
130,150.87,170.87,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,69.2,68.0
131,150.87,170.87,47. Tate Macdonald,Seattle United 06 Tango,Passes accurate,1st half,69.2,68.0
132,152.23,172.23,54. Elliot Falor,Seattle United 06 Tango,Challenges (lost),1st half,81.3,54.7
133,152.23,172.23,14. Noname Noname,Sound FC 06,Challenges (won),1st half,23.7,13.3
134,152.23,172.23,54. Elliot Falor,Seattle United 06 Tango,Lost balls,1st half,81.3,54.7
135,152.23,172.23,14. Noname Noname,Sound FC 06,Positional attacks,1st half,23.7,13.3
136,153.77,173.77,5. Noname Noname,Sound FC 06,Picking-ups,1st half,19.6,12.6
137,153.77,173.77,5. Noname Noname,Sound FC 06,Positional attacks,1st half,19.6,12.6
138,153.77,173.77,5. Noname Noname,Sound FC 06,Positional attacks,1st half,19.6,12.6
139,153.77,173.77,5. Noname Noname,Sound FC 06,Passes accurate,1st half,19.6,12.6
140,154.66,174.66,14. Noname Noname,Sound FC 06,Positional attacks,1st half,25.1,14.3
141,154.66,174.66,14. Noname Noname,Sound FC 06,Passes accurate,1st half,25.1,14.3
142,156.47,176.47,9. Noname Noname,Sound FC 06,Positional attacks,1st half,32.9,18.2
143,156.47,176.47,9. Noname Noname,Sound FC 06,Passes accurate,1st half,32.9,18.2
144,157.63,177.63,7. Noname Noname,Sound FC 06,Positional attacks,1st half,47.8,16.6
145,160.93,180.93,7. Noname Noname,Sound FC 06,Challenges (lost),1st half,49.2,17.3
146,160.93,180.93,54. Elliot Falor,Seattle United 06 Tango,Challenges (won),1st half,55.8,50.7
147,160.93,180.93,54. Elliot Falor,Seattle United 06 Tango,Tackles (Successful actions),1st half,55.8,50.7
148,160.93,180.93,7. Noname Noname,Sound FC 06,Dribbles (Unsuccessful actions),1st half,49.2,17.3
149,160.93,180.93,7. Noname Noname,Sound FC 06,Positional attacks,1st half,49.2,17.3
150,163.72,183.72,5. Noname Noname,Sound FC 06,Passes accurate,1st half,41.2,15.9
151,163.72,183.72,5. Noname Noname,Sound FC 06,Picking-ups,1st half,41.2,15.9
152,163.72,183.72,5. Noname Noname,Sound FC 06,Positional attacks,1st half,41.2,15.9
153,163.72,183.72,5. Noname Noname,Sound FC 06,Positional attacks,1st half,41.2,15.9
154,167.08,187.08,13. Noname Noname,Sound FC 06,Passes accurate,1st half,45.4,1.5
155,167.08,187.08,13. Noname Noname,Sound FC 06,Positional attacks,1st half,45.4,1.5
156,169.06,189.06,5. Noname Noname,Sound FC 06,Passes accurate,1st half,40.1,12.3
157,169.06,189.06,5. Noname Noname,Sound FC 06,Positional attacks,1st half,40.1,12.3
158,169.9,189.9,8. Noname A19,Sound FC 06,Positional attacks,1st half,47.8,17.0
159,171.46,191.46,8. Noname A19,Sound FC 06,Passes (inaccurate),1st half,52.1,18.6
160,171.46,191.46,8. Noname A19,Sound FC 06,Lost balls,1st half,76.0,0.0
161,171.46,191.46,8. Noname A19,Sound FC 06,Positional attacks,1st half,52.1,18.6
162,187.8,207.8,47. Tate Macdonald,Seattle United 06 Tango,Passes accurate,1st half,32.3,68.0
163,188.69,208.69,50. Jackson Smith,Seattle United 06 Tango,Passes (inaccurate),1st half,45.2,65.2
164,188.92,208.92,5. Noname Noname,Sound FC 06,Interceptions (in opp. half),1st half,57.3,2.6
165,188.92,208.92,5. Noname Noname,Sound FC 06,Interceptions,1st half,57.3,2.6
166,207.03,227.03,47. Tate Macdonald,Seattle United 06 Tango,Passes (inaccurate),1st half,56.0,68.0
167,207.03,227.03,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,56.0,68.0
168,208.49,228.49,5. Noname Noname,Sound FC 06,Interceptions,1st half,37.2,4.0
169,208.49,228.49,5. Noname Noname,Sound FC 06,Positional attacks,1st half,37.2,4.0
170,210.35,230.35,47. Tate Macdonald,Seattle United 06 Tango,Lost balls,1st half,93.7,52.6
171,210.35,230.35,47. Tate Macdonald,Seattle United 06 Tango,Passes (inaccurate),1st half,56.8,66.8
172,210.35,230.35,47. Tate Macdonald,Seattle United 06 Tango,Picking-ups,1st half,56.8,66.8
173,210.35,230.35,47. Tate Macdonald,Seattle United 06 Tango,Passes into the penalty box,1st half,56.8,66.8
174,210.35,230.35,47. Tate Macdonald,Seattle United 06 Tango,Picking-ups (in opp. half),1st half,56.8,66.8
175,210.35,230.35,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,56.8,66.8
176,210.35,230.35,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,56.8,66.8
177,214.06,234.06,10. Noname A20,Sound FC 06,Interceptions,1st half,11.3,15.4
178,214.06,234.06,10. Noname A20,Sound FC 06,Positional attacks,1st half,11.3,15.4
179,214.06,234.06,10. Noname A20,Sound FC 06,Passes accurate,1st half,11.3,15.4
180,216.18,236.18,8. Noname A19,Sound FC 06,Air challenges (won),1st half,22.6,16.5
181,216.18,236.18,21. Gian Lucca Weintraub,Seattle United 06 Tango,Air challenges (lost),1st half,82.4,51.5
182,216.18,236.18,21. Gian Lucca Weintraub,Seattle United 06 Tango,Challenges (lost),1st half,82.4,51.5
183,216.18,236.18,8. Noname A19,Sound FC 06,Challenges (won),1st half,22.6,16.5
184,216.18,236.18,8. Noname A19,Sound FC 06,Passes accurate,1st half,22.6,16.5
185,218.66,238.66,13. Noname Noname,Sound FC 06,Dribbles (Successful actions),1st half,29.3,1.1
186,218.66,238.66,29. Jackson Peterson,Seattle United 06 Tango,Challenges (lost),1st half,75.7,66.9
187,218.66,238.66,29. Jackson Peterson,Seattle United 06 Tango,Tackles (Unsuccessful actions),1st half,75.7,66.9
188,220.51,240.51,13. Noname Noname,Sound FC 06,Passes accurate,1st half,30.2,5.5
189,221.77,241.77,14. Noname Noname,Sound FC 06,Bad ball control,1st half,34.3,16.3
190,223.53,243.53,54. Elliot Falor,Seattle United 06 Tango,Challenges (won),1st half,71.3,47.8
191,223.53,243.53,14. Noname Noname,Sound FC 06,Lost balls,1st half,33.7,20.2
192,223.53,243.53,14. Noname Noname,Sound FC 06,Lost balls (in opp. half),1st half,33.7,20.2
193,223.53,243.53,14. Noname Noname,Sound FC 06,Challenges (lost),1st half,33.7,20.2
194,229.16,249.16,54. Elliot Falor,Seattle United 06 Tango,Positional attacks,1st half,71.0,38.7
195,229.16,249.16,54. Elliot Falor,Seattle United 06 Tango,Passes accurate,1st half,71.0,38.7
196,230.86,250.86,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,65.9,62.6
197,233.46,253.46,9. Noname Noname,Sound FC 06,Challenges (won),1st half,31.9,11.1
198,233.46,253.46,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,73.1,56.9
199,233.46,253.46,9. Noname Noname,Sound FC 06,Tackles (Successful actions),1st half,31.9,11.1
200,233.46,253.46,47. Tate Macdonald,Seattle United 06 Tango,Dribbles (Unsuccessful actions),1st half,73.1,56.9
201,233.46,253.46,47. Tate Macdonald,Seattle United 06 Tango,Lost balls,1st half,73.1,56.9
202,233.46,253.46,47. Tate Macdonald,Seattle United 06 Tango,Challenges (lost),1st half,73.1,56.9
203,235.28,255.28,5. Noname Noname,Sound FC 06,Counter-attacks,1st half,23.5,13.1
204,235.28,255.28,5. Noname Noname,Sound FC 06,Counter-attacks,1st half,23.5,13.1
205,235.28,255.28,5. Noname Noname,Sound FC 06,Picking-ups,1st half,23.5,13.1
206,235.28,255.28,5. Noname Noname,Sound FC 06,Passes accurate,1st half,23.5,13.1
207,237.61,257.61,9. Noname Noname,Sound FC 06,Dribbling,1st half,33.7,20.2
208,237.61,257.61,9. Noname Noname,Sound FC 06,Counter-attacks,1st half,33.7,20.2
209,237.61,257.61,9. Noname Noname,Sound FC 06,Counter-attacks,1st half,33.7,20.2
210,237.61,257.61,42. Loic Charles-Antoine,Seattle United 06 Tango,Challenges (lost),1st half,71.3,47.8
211,237.61,257.61,9. Noname Noname,Sound FC 06,Challenges (won),1st half,33.7,20.2
212,239.53,259.53,42. Loic Charles-Antoine,Seattle United 06 Tango,Challenges (lost),1st half,64.9,46.7
213,239.53,259.53,9. Noname Noname,Sound FC 06,Dribbles (Successful actions),1st half,40.1,21.3
214,239.53,259.53,42. Loic Charles-Antoine,Seattle United 06 Tango,Tackles (Unsuccessful actions),1st half,64.9,46.7
215,239.53,259.53,9. Noname Noname,Sound FC 06,Counter-attacks,1st half,40.1,21.3
216,240.94,260.94,9. Noname Noname,Sound FC 06,Counter-attacks,1st half,46.8,16.6
217,240.94,260.94,9. Noname Noname,Sound FC 06,Passes accurate,1st half,46.8,16.6
218,241.88,261.88,7. Noname Noname,Sound FC 06,Counter-attacks,1st half,56.8,15.4
219,241.88,261.88,7. Noname Noname,Sound FC 06,Passes (inaccurate),1st half,56.8,15.4
220,241.88,261.88,7. Noname Noname,Sound FC 06,Lost balls,1st half,56.5,18.3
221,241.98,261.98,33. Kirby Winfield III,Seattle United 06 Tango,Interceptions,1st half,48.5,49.7
222,241.98,261.98,33. Kirby Winfield III,Seattle United 06 Tango,Counter-attacks,1st half,48.5,49.7
223,243.63,263.63,47. Tate Macdonald,Seattle United 06 Tango,Picking-ups,1st half,48.5,46.3
224,243.63,263.63,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,48.5,46.3
225,243.63,263.63,47. Tate Macdonald,Seattle United 06 Tango,Passes accurate,1st half,48.5,46.3
226,243.63,263.63,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,48.5,46.3
227,244.84,264.84,29. Jackson Peterson,Seattle United 06 Tango,Passes accurate,1st half,60.9,51.7
228,244.84,264.84,29. Jackson Peterson,Seattle United 06 Tango,Positional attacks,1st half,60.9,51.7
229,247.37,267.37,33. Kirby Winfield III,Seattle United 06 Tango,Passes accurate,1st half,57.3,65.7
230,247.37,267.37,33. Kirby Winfield III,Seattle United 06 Tango,Positional attacks,1st half,57.3,65.7
231,248.51,268.51,50. Jackson Smith,Seattle United 06 Tango,Positional attacks,1st half,72.1,64.3
232,248.51,268.51,5. Noname Noname,Sound FC 06,Challenges (lost),1st half,32.9,3.7
233,248.51,268.51,50. Jackson Smith,Seattle United 06 Tango,Challenges (won),1st half,72.1,64.3
234,251.97,271.97,50. Jackson Smith,Seattle United 06 Tango,Positional attacks,1st half,65.5,59.1
235,251.97,271.97,50. Jackson Smith,Seattle United 06 Tango,Passes accurate,1st half,65.5,59.1
236,254.65,274.65,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,1st half,56.5,24.7
237,254.65,274.65,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,1st half,56.5,24.7
238,254.65,274.65,40. Mateo Garces,Seattle United 06 Tango,Dribbling,1st half,56.5,24.7
239,257.74,277.74,18. Noname Noname,Sound FC 06,Positional attacks,1st half,38.3,62.0
240,257.74,277.74,18. Noname Noname,Sound FC 06,Tackles (Successful actions),1st half,38.3,62.0
241,257.74,277.74,18. Noname Noname,Sound FC 06,Challenges (won),1st half,38.3,62.0
242,257.74,277.74,40. Mateo Garces,Seattle United 06 Tango,Challenges (lost),1st half,66.7,6
243,265.3,285.3,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,1st half,68.4,0.0
244,265.3,285.3,40. Mateo Garces,Seattle United 06 Tango,Passes (inaccurate),1st half,68.4,0.0
245,266.66,286.66,8. Noname A19,Sound FC 06,Positional attacks,1st half,28.3,60.7
246,266.66,286.66,8. Noname A19,Sound FC 06,Interceptions,1st half,28.3,60.7
247,266.66,286.66,8. Noname A19,Sound FC 06,Positional attacks,1st half,28.3,60.7
248,266.66,286.66,8. Noname A19,Sound FC 06,Passes accurate,1st half,28.3,60.7
249,267.9,287.9,54. Elliot Falor,Seattle United 06 Tango,Positional attacks,1st half,72.3,6.2
250,267.9,287.9,54. Elliot Falor,Seattle United 06 Tango,Challenges (won),1st half,72.3,6.2
251,267.9,287.9,14. Noname Noname,Sound FC 06,Challenges (lost),1st half,32.7,61.8
252,269.73,289.73,40. Mateo Garces,Seattle United 06 Tango,Picking-ups (in opp. half),1st half,67.2,5.0
253,269.73,289.73,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,1st half,67.2,5.0
254,269.73,289.73,40. Mateo Garces,Seattle United 06 Tango,Passes accurate,1st half,67.2,5.0
255,269.73,289.73,40. Mateo Garces,Seattle United 06 Tango,Picking-ups,1st half,67.2,5.0
256,269.73,289.73,40. Mateo Garces,Seattle United 06 Tango,Positional attacks,1st half,67.2,5.0
257,271.64,291.64,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,68.1,24.5
258,271.64,291.64,42. Loic Charles-Antoine,Seattle United 06 Tango,Passes accurate,1st half,68.1,24.5
259,272.85,292.85,10. Noname A20,Sound FC 06,Challenges (won),1st half,19.6,45.8
260,272.85,292.85,23. Zoran Khan,Seattle United 06 Tango,Challenges (lost),1st half,85.4,22.2
261,272.85,292.85,10. Noname A20,Sound FC 06,Positional attacks,1st half,19.6,45.8
262,274.11,294.11,42. Loic Charles-Antoine,Seattle United 06 Tango,Passes accurate,1st half,69.5,28.2
263,274.11,294.11,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,69.5,28.2
264,274.11,294.11,42. Loic Charles-Antoine,Seattle United 06 Tango,Positional attacks,1st half,69.5,28.2
265,274.11,294.11,42. Loic Charles-Antoine,Seattle United 06 Tango,Picking-ups,1st half,69.5,28.2
266,274.11,294.11,42. Loic Charles-Antoine,Seattle United 06 Tango,Picking-ups (in opp. half),1st half,69.5,28.2
267,275.98,295.98,29. Jackson Peterson,Seattle United 06 Tango,Positional attacks,1st half,76.8,40.9
268,275.98,295.98,29. Jackson Peterson,Seattle United 06 Tango,Passes accurate,1st half,76.8,40.9
269,278.3,298.3,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,79.5,64.8
270,279.84,299.84,47. Tate Macdonald,Seattle United 06 Tango,Lost balls,1st half,92.3,61.7
271,279.84,299.84,47. Tate Macdonald,Seattle United 06 Tango,Challenges (lost),1st half,92.3,61.7
272,279.84,299.84,13. Noname Noname,Sound FC 06,Challenges (won),1st half,12.7,6.3
273,279.84,299.84,13. Noname Noname,Sound FC 06,Tackles (Successful actions),1st half,12.7,6.3
274,279.84,299.84,47. Tate Macdonald,Seattle United 06 Tango,Dribbles (Unsuccessful actions),1st half,92.3,61.7
275,279.84,299.84,47. Tate Macdonald,Seattle United 06 Tango,Positional attacks,1st half,92.3,61.7
276,299,319,50. Jackson Smith,Seattle United 06 Tango,Corner attacks,1st half,105.0,68.0
277,299,319,50. Jackson Smith,Seattle United 06 Tango,Passes accurate,1st half,105.0,68.0
278,299,319,50. Jackson Smith,Seattle United 06 Tango,Corner attacks,1st half,105.0,68.0
